Name,Value,Byte Offset,Type
_child159[15],"0.00, 0.00, 0.00, 0.00",4224,float4
_child159[16],"0.15, 1.20, 0.50, 0.00",4240,float4
_child159[17],"1.00, 1.00, 0.00, 1.00",4256,float4
_child159[18],"1.00, 0.00, 0.00, 0.00",4272,float4
_child159[19],"0.00, 0.00, 0.00, 0.00",4288,float4
_child159[20],"-1.68862E-28, 1.40130E-45, -1.50668E-28, 1.40130E-45",4304,float4
_child159[21],"-1.68839E-28, 1.40130E-45, 9.21956E-41, 512.00",4320,float4
_child159[22],"0.00195, 0.39063, 0.00, 1.40130E-45",4336,float4
_child159[23],"10000.00, 10000.00, 10000.00, 0.001",4352,float4
_child159[24],"10001.00, 10000.00, 10001.00, 0.00",4368,float4
_child159[25],"1.00568E-34, 4.59149E-41, -8.39752E+34, 1.40130E-45",4384,float4
_child159[26],"-8.39749E+34, 1.40130E-45, 0.00, 0.00",4400,float4
_child159[27],"3.36312E-44, 0.00, 3.36312E-44, 0.00",4416,float4
_child159[28],"1.00572E-34, 4.59149E-41, -0.9997, -0.00238",4432,float4
_child159[29],"-0.02428, 0.00, 0.00, 0.99521",4448,float4
_child159[30],"-0.09776, 0.00, -0.02439, 0.09773",4464,float4
_child159[31],"0.99491, 0.00, -0.08816, -299.79968",4480,float4
